,indoor_t_c,outdoor_t_c,q_solar_w,q_conduct_w,q_vent_w,q_internal_w,q_net_w
2024-03-31 07:00:00+05:30,33.04077829203234,27.575,435.6475571460296,-542.8164530376833,-85.69247206248308,100.0,-92.86136795413684
2024-03-31 08:00:00+05:30,33.17410278299003,31.23,775.5260437677163,92.12774423681435,-30.479643431717747,100.0,937.1741445728129
2024-03-31 09:00:00+05:30,33.794185225372324,34.745,1114.637309752099,640.9345235827053,14.906874036612608,100.0,1870.478707371417
2024-03-31 10:00:00+05:30,34.76257810625256,36.919999999999995,1442.4405911887977,971.8084080847526,33.824060450172325,100.0,2548.073059723723
2024-03-31 11:00:00+05:30,36.00990550295884,38.455,1700.067118448038,1129.3199073775759,38.334191524611306,100.0,2967.7212173502253
2024-03-31 12:00:00+05:30,37.36880014276924,39.625,1791.547054430315,1107.241203252044,35.37270136166392,100.0,3034.1609590440225
2024-03-31 13:00:00+05:30,38.71406092820792,40.17,1797.941302197851,975.3025479507854,22.826212767556274,100.0,2896.070062916193
2024-03-31 14:00:00+05:30,39.95885803718948,40.125,1666.7468151293617,706.9392612653061,2.6047736929433074,100.0,2476.2908500876115
2024-03-31 15:00:00+05:30,40.94530149105655,39.595,1354.3731560176755,284.0216629819548,-21.17002677678453,100.0,1717.224792222846
2024-03-31 16:00:00+05:30,41.53854313151204,38.525,888.4997150228064,-271.57843852145,-47.246329215845854,100.0,669.6749472855105
2024-03-31 17:00:00+05:30,41.61168476711448,36.059999999999995,352.4515854918909,-968.7211572683055,-87.03931377882087,100.0,-603.3088855552356
2024-03-31 18:00:00+05:30,41.125735008979206,32.78,44.06752306858676,-1498.4241805132187,-130.844433470776,100.0,-1485.201090915408
2024-03-31 19:00:00+05:30,40.394531927904374,30.674999999999997,0.0,-1656.9041210904682,-152.3828215656848,100.0,-1709.286942656153
2024-03-31 20:00:00+05:30,39.62236745966821,29.439999999999998,0.0,-1678.4739022830872,-159.63915703267824,100.0,-1738.1130593157657
2024-03-31 21:00:00+05:30,38.83535214590301,28.095,0.0,-1710.1373899453265,-168.38724094346733,100.0,-1778.5246308887938
2024-03-31 22:00:00+05:30,38.02807561740687,26.66,0.0,-1748.8301868170813,-178.22868952970495,100.0,-1827.058876346786
2024-03-31 23:00:00+05:30,37.19912410425068,25.24,0.0,-1782.5547367593592,-187.49514770644217,100.0,-1870.0498844658016
2024-04-01 00:00:00+05:30,36.35492123636862,24.064999999999998,0.0,-1786.4735373582382,-192.6813851437872,100.0,-1879.1549225020253
2024-04-01 01:00:00+05:30,35.515879214135076,23.245,0.0,-1751.3357247741349,-192.38284431920977,100.0,-1843.7185690933445
