,indoor_t_c,outdoor_t_c,q_solar_w,q_conduct_w,q_vent_w,q_internal_w,q_net_w
2024-05-29 08:00:00+05:30,41.15730589606181,41.745,1233.5156829880814,569.9565005020728,9.21386816154308,100.0,1912.6860516516972
2024-05-29 09:00:00+05:30,42.169071520461536,45.105,1442.869496904769,968.6221461387723,46.02948670220405,100.0,2557.5211297457454
2024-05-29 10:00:00+05:30,43.373700675542786,46.89000000000001,1570.3211995537765,1066.6983214051872,55.12854080884012,100.0,2792.148061767804
2024-05-29 11:00:00+05:30,44.641534958172194,48.01,1636.2170164816537,1016.4431534320935,52.81079492577629,100.0,2805.4709648395233
2024-05-29 12:00:00+05:30,45.880261059387614,48.73,1635.4119267731419,883.0855096498717,44.67820711092093,100.0,2663.1756435339344
2024-05-29 13:00:00+05:30,47.035932039428154,49.01499999999999,1591.338049275693,692.1932742243451,31.027827485845375,100.0,2414.5591509858837
2024-05-29 14:00:00+05:30,48.05244956830456,48.845,1455.3705961767594,395.3293317015393,12.425605668121015,100.0,1963.1255335464195
2024-05-29 15:00:00+05:30,48.819256867815845,48.23499999999999,1217.1559428455455,4.891801884971717,-9.159979173616811,100.0,1312.8877655569004
2024-05-29 16:00:00+05:30,49.2645085626387,47.26500000000001,843.1871764967321,-481.6550160519358,-31.348295245049616,100.0,430.1838651997468
2024-05-29 17:00:00+05:30,49.26669248772035,45.78,397.6832219111375,-1004.3832873089018,-54.664364822479605,100.0,-561.3644302202439
2024-05-29 18:00:00+05:30,48.85318083543541,43.29,95.33011337916237,-1451.5372276907262,-87.21954913795638,100.0,-1343.42666344952
2024-05-29 19:00:00+05:30,48.15682319699235,41.309999999999995,0.0,-1639.8269156504782,-107.34449408244608,100.0,-1647.171409732924
2024-05-29 20:00:00+05:30,47.419724634471926,40.375,0.0,-1633.0445011405848,-110.44719281925087,100.0,-1643.4916939598359
2024-05-29 21:00:00+05:30,46.6795779729259,39.29,0.0,-1642.6334143565364,-115.8538034595323,100.0,-1658.4872178160686
2024-05-29 22:00:00+05:30,45.93321311578135,38.339999999999996,0.0,-1636.1299885047436,-119.04639522922004,100.0,-1655.1763837339633
2024-05-29 23:00:00+05:30,45.1956214923566,37.660000000000004,0.0,-1600.6562767913128,-118.14347375716682,100.0,-1618.7997505484798
2024-05-30 00:00:00+05:30,44.478563608723896,37.18,0.0,-1545.8501543311042,-114.4268802575732,100.0,-1560.2770345886775
2024-05-30 01:00:00+05:30,43.791675560721295,36.9,0.0,-1473.1720048948537,-108.04768944098846,100.0,-1481.2196943358422
2024-05-30 02:00:00+05:30,43.142272228576566,36.65,0.0,-1402.8081387121101,-101.78584399962335,100.0,-1404.5939827117334
2024-05-30 03:00:00+05:30,42.52234412137879,36.199999999999996,0.0,-1359.3557154613172,-99.12171113497658,100.0,-1358.477426596294
2024-05-30 04:00:00+05:30,41.91655518852933,35.51,0.0,-1344.9793775002768,-100.44197224576284,100.0,-1345.4213497460396
2024-05-30 05:00:00+05:30,41.36293895153028,35.52,292.1199217724225,-976.294170928568,-91.60559688209175,100.0,-675.7798460382372
2024-05-30 06:00:00+05:30,41.26069493987641,37.085,578.6336335177028,-543.3688296720844,-65.4665452673824,100.0,69.79825857823589
